,states,actions,rewards1,rewards2,rewards3,rewards,nextStates,dones
0,"[0.0, 0.0, 0.6388888888888888, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,7.5,6.0,15.0,17.61675396541514,"[0.0, 0.0, 0.013888888888888888, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.5]",0.0
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,5.0,6.0,4.0,24.297928118025563,"[0.0, 0.0, 0.39814814814814814, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2,"[0.0, 0.0, 0.39814814814814814, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,6.0,6.0,14.5,21.365442964944652,"[0.0, 0.0, 0.5740740740740741, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,"[0.0, 0.0, 0.34722222222222227, 0.5, 0.0, 0.0, 0.027777777777777776, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,6.0,10.0,4.5,12.77269480634174,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.027777777777777776, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0
4,"[0.0, 0.0, 0.013888888888888888, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.5]",0.0,4.0,45.5,4.5,0.1718152044278149,"[0.0, 0.0, 1.5555555555555556, 1.0, 0.0, 0.0, 0.7592592592592593, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.0]",0.0
5,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.027777777777777776, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0,4.0,14.0,8.5,9.875699168323866,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.013888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
6,"[0.0, 0.0, 1.5555555555555556, 1.0, 0.0, 0.0, 0.7592592592592593, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.0]",2.0,6.0,6.0,14.5,21.365442964944652,"[1.0, 0.0, 1.1944444444444444, 1.5, 0.0, 0.0, 0.37962962962962954, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.0]",0.0
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.013888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,6.0,6.0,14.5,21.365442964944652,"[1.0, 1.0, 0.3055555555555556, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
8,"[0.0, 0.0, 0.5740740740740741, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,7.5,6.0,15.0,17.61675396541514,"[0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.37499999999999994, 0.5, 0.0, 0.0, 0.7222222222222222, 0.5]",0.0
9,"[1.0, 0.0, 1.1944444444444444, 1.5, 0.0, 0.0, 0.37962962962962954, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3888888888888889, 0.0]",1.0,5.0,6.5,7.5,22.78455611531636,"[1.0, 0.0, 1.0833333333333333, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5648148148148148, 0.5, 0.0, 0.0, 0.3888888888888889, 0.0]",0.0
